0,933
1,878
2,797
3,791
4,821
5,761
6,747
7,781
8,830
9,772
Wei Wang,137
Shuicheng Yan,137
Yang Liu,130
Jiawei Han,127
Eric P. Xing,108
Feiping Nie,105
Zhi-Hua Zhou,105
Heng Huang,99
Yunhao Liu,98
Lawrence Carin,97
Jieping Ye,97
Tat-Seng Chua,96
Qiang Yang,94
Philip S. Yu,94
Dacheng Tao,93
Yi Yang,87
Michael I. Jordan,86
Onur Mutlu,84
Jun Zhu,83
Lei Zhang,82
